,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0042254,BP,GO:0042254,ribosome biogenesis,101/2934,137/6969,3.53E-14,1.16E-10,1.08E-10,ABT1/BUD23/CINP/DDX28/DDX31/DDX49/DHX30/EBNA1BP2/EIF4A3/EIF6/EMG1/EXOSC10/EXOSC2/EXOSC3/EXOSC4/FBL/FCF1/GAR1/GRWD1/GTPBP10/GTPBP4/IMP3/ISG20/KRI1/LTO1/LYAR/MRM1/MRPL20/MRPL44/MRPS11/MRPS2/MRPS7/MRTO4/NAF1/NAT10/NIP7/NLE1/NOB1/NOC4L/NOL6/NOL9/NOP10/NOP2/NOP56/NOP9/NPM3/NSUN5/PIN4/PNO1/POP7/PPAN/PWP1/RBIS/REXO4/RIOK1/RPL10/RPL26/RPL27/RPL35/RPL35A/RPL6/RPL7/RPL7L1/RPLP0/RPP40/RPS11/RPS12/RPS15/RPS16/RPS17/RPS19BP1/RPS21/RPS23/RPS25/RPS27/RPS27L/RPS28/RPS4X/RPS8/RPSA/RPUSD1/RRP15/RRP36/RRP9/RRS1/SART1/SHQ1/SIRT7/SLX9/SNU13/TMA16/TRMT112/TSR2/TSR3/UTP11/UTP23/WDR12/WDR18/WDR46/WDR55/WDR74,101
GO:0022613,BP,GO:0022613,ribonucleoprotein complex biogenesis,125/2934,183/6969,3.81E-13,6.28E-10,5.82E-10,ABT1/BUD23/CELF3/CINP/CLNS1A/CLP1/DDX20/DDX28/DDX31/DDX49/DENR/DHX30/EBNA1BP2/EIF3H/EIF3I/EIF4A3/EIF6/EMG1/EXOSC10/EXOSC2/EXOSC3/EXOSC4/FBL/FCF1/GAR1/GEMIN8/GRWD1/GTPBP10/GTPBP4/IMP3/ISG20/KRI1/LTO1/LUC7L/LYAR/MRM1/MRPL20/MRPL44/MRPS11/MRPS2/MRPS7/MRTO4/NAF1/NAT10/NIP7/NLE1/NOB1/NOC4L/NOL6/NOL9/NOP10/NOP2/NOP56/NOP9/NOPCHAP1/NPM3/NSUN5/PIN4/PNO1/POP7/PPAN/PRPF18/PRPF31/PWP1/RBIS/REXO4/RIOK1/RPL10/RPL26/RPL27/RPL35/RPL35A/RPL6/RPL7/RPL7L1/RPLP0/RPP40/RPS11/RPS12/RPS15/RPS16/RPS17/RPS19BP1/RPS21/RPS23/RPS25/RPS27/RPS27L/RPS28/RPS4X/RPS8/RPSA/RPUSD1/RRP15/RRP36/RRP9/RRS1/SART1/SF3A3/SFSWAP/SHQ1/SIRT7/SLX9/SNRPC/SNRPD1/SNRPE/SNRPF/SNRPG/SNU13/SRSF6/STRAP/TARBP2/TMA16/TRMT112/TSR2/TSR3/USP39/UTP11/UTP23/WDR12/WDR18/WDR46/WDR55/WDR74/YJU2,125
GO:0016072,BP,GO:0016072,rRNA metabolic process,70/2934,96/6969,7.26E-10,7.98E-07,7.39E-07,ABT1/ANG/BUD23/DDX49/EIF4A3/EMG1/EXOSC10/EXOSC2/EXOSC3/EXOSC4/FBL/FCF1/GAR1/GTF3C1/GTPBP4/IMP3/ISG20/KRI1/LYAR/MRM1/MRPL44/MRPS11/NAF1/NAT10/NOB1/NOL6/NOL9/NOP10/NOP2/NOP9/NPM3/NSUN5/PIN4/POP7/PPAN/PWP1/REXO4/RPL26/RPL27/RPL35/RPL35A/RPL7/RPL7L1/RPP40/RPS16/RPS21/RPS25/RPS28/RPS8/RPUSD1/RRP15/RRP36/RRP9/RRS1/SART1/SHQ1/SIRT7/SLX9/SMARCB1/TRIR/TRMT112/TSR2/TSR3/UTP11/UTP23/WDR12/WDR18/WDR46/WDR55/WDR74,70
GO:0007005,BP,GO:0007005,mitochondrion organization,110/2934,171/6969,2.57E-09,2.12E-06,1.96E-06,AGK/AIP/ALKBH7/APOO/ARMCX3/ATG13/ATG4D/ATP23/ATP5IF1/BAX/BBC3/BCAP31/BCS1L/BID/CDC37/CHCHD10/CHCHD2/CHCHD4/CISD2/COA4/COX16/COX17/COX18/COX19/COX7A2L/DMAC2/EPM2A/FAM162A/FBXO7/FMC1/FOXRED1/FUNDC2/GBA1/GDAP1/GHITM/HAP1/HIGD1A/HSD17B10/IMMP1L/LYRM2/MAIP1/MAP1LC3A/MAP1LC3B/MAP1LC3C/MCL1/MEF2A/MICOS13/MIGA2/MLLT11/MTCH1/MTFR1/MTFR1L/MTFR2/MTX1/NDUFA11/NDUFAF3/NDUFAF5/NDUFB1/NDUFB4/NDUFB5/NDUFB7/NDUFB8/NDUFC2/NDUFS5/NDUFS8/P2RX7/PARK7/PHB2/PLSCR3/POLDIP2/POLG/PRKN/PSMD10/RALBP1/RHOT2/RNF41/ROMO1/SCO1/SCO2/SDHAF1/SESN2/SIRT1/SIRT7/SLC25A33/SLC25A5/SLC25A6/SLC35F6/SPATA18/SQSTM1/STAT2/TIGAR/TIMM17B/TIMM21/TIMM22/TIMM44/TMEM126A/TMEM14A/TMEM186/TOMM34/TOMM40/TOMM7/TRMT10B/UCP2/UQCC1/UQCC2/UQCC3/UQCC4/VAT1/VDAC2/WDR45,110
GO:0006364,BP,GO:0006364,rRNA processing,66/2934,91/6969,3.24E-09,2.13E-06,1.98E-06,ABT1/BUD23/DDX49/EIF4A3/EMG1/EXOSC10/EXOSC2/EXOSC3/EXOSC4/FBL/FCF1/GAR1/GTPBP4/IMP3/ISG20/KRI1/LYAR/MRM1/MRPL44/MRPS11/NAF1/NAT10/NOB1/NOL6/NOL9/NOP10/NOP2/NOP9/NPM3/NSUN5/PIN4/POP7/PPAN/PWP1/REXO4/RPL26/RPL27/RPL35/RPL35A/RPL7/RPL7L1/RPP40/RPS16/RPS21/RPS25/RPS28/RPS8/RPUSD1/RRP15/RRP36/RRP9/RRS1/SART1/SHQ1/SIRT7/SLX9/TRMT112/TSR2/TSR3/UTP11/UTP23/WDR12/WDR18/WDR46/WDR55/WDR74,66
GO:0042176,BP,GO:0042176,regulation of protein catabolic process,66/2934,97/6969,1.86E-07,0.000102217,9.47E-05,ARAF/ARIH2/ASB11/ASB9/AZIN1/BAG2/BAG6/BCAP31/CBLB/CLU/CSNK1E/CST3/DDRGK1/DESI1/DVL1/EPM2A/FOXO1/FURIN/FYN/FZR1/GABARAP/GBA1/GFAP/HAMP/MAD2L2/MARCHF2/MDM2/NOS2/OAZ3/PARK7/PIN1/PITHD1/PLK2/PLK3/PRKN/PSEN1/PSMD10/PSMD2/PSMD3/PSME1/PSME2/PSME3/RACK1/RGP1/RNF180/RNF19B/RNF41/RPL11/SMAD7/SNF8/SOX9/STUB1/STX5/SUMO2/SVIP/TIMP1/TIMP3/TIPARP/TMEM259/TNFAIP3/TRIM32/TRIM39/UBB/UBQLN4/VPS28/ZFAND2A,66
GO:0006839,BP,GO:0006839,mitochondrial transport,37/2934,47/6969,3.10E-07,0.000146053,0.000135356,AGK/AIP/ALKBH7/ATP5IF1/BAX/BBC3/BCAP31/BCS1L/CHCHD10/CHCHD4/COX18/FBXO7/GDAP1/IMMP1L/KIFBP/MAIP1/MTCH1/PRKN/PSEN1/RHOT2/ROMO1/SLC25A14/SLC25A20/SLC25A5/SLC25A6/SLC35F6/TIMM17B/TIMM21/TIMM22/TIMM44/TMEM14A/TOMM34/TOMM40/TOMM7/TRMT10B/UCP2/VDAC2,37
GO:0034660,BP,GO:0034660,ncRNA metabolic process,132/2934,226/6969,3.90E-07,0.000160507,0.000148752,ABT1/ADAT1/ADAT2/AGO2/ANG/BUD23/CELF3/CLP1/DDX49/DGCR8/DTD1/EARS2/EIF4A3/ELL2/ELP5/EMG1/ESR1/EXD1/EXOSC10/EXOSC2/EXOSC3/EXOSC4/FARSA/FBL/FCF1/FOSL1/FTSJ1/GAR1/GARS1/GATA2/GATC/GON7/GTF3C1/GTPBP4/HARS1/HARS2/HSD17B10/IMP3/ISG20/KARS1/KRI1/LYAR/METTL3/MOCS3/MRM1/MRPL44/MRPS11/MTFMT/MYOD1/NAF1/NARS1/NAT10/NOB1/NOL6/NOL9/NOP10/NOP2/NOP9/NPM3/NSUN5/OSGEP/PARS2/PIN4/PIWIL2/PNLDC1/POLR2F/POP1/POP4/POP5/POP7/PPAN/PUS1/PUS3/PWP1/QRSL1/QTRT1/QTRT2/RARA/REXO4/RPL26/RPL27/RPL35/RPL35A/RPL7/RPL7L1/RPP21/RPP25L/RPP38/RPP40/RPS16/RPS21/RPS25/RPS28/RPS8/RPUSD1/RRP15/RRP36/RRP9/RRS1/RTCB/SART1/SHQ1/SIRT7/SLX9/SMAD1/SMARCB1/SNAPC2/SOX9/SRF/TARBP2/TARS2/TP53RK/TRIR/TRMT10B/TRMT112/TSN/TSR2/TSR3/URM1/UTP11/UTP23/VARS1/WARS1/WDR12/WDR18/WDR4/WDR46/WDR55/WDR74/YARS1/ZBTB8OS/ZSWIM8,132
GO:0042274,BP,GO:0042274,ribosomal small subunit biogenesis,37/2934,48/6969,8.05E-07,0.000294834,0.000273241,ABT1/FBL/FCF1/IMP3/KRI1/MRPS11/MRPS7/NAT10/NOB1/NOL6/NOP56/NOP9/PNO1/RPP40/RPS11/RPS12/RPS15/RPS16/RPS17/RPS19BP1/RPS21/RPS23/RPS25/RPS27/RPS27L/RPS28/RPS4X/RPS8/RPSA/RRP36/RRP9/RRS1/SLX9/TSR2/TSR3/UTP11/WDR46,37
GO:0043604,BP,GO:0043604,amide biosynthetic process,183/2934,336/6969,1.97E-06,0.000596364,0.000552688,ABCF1/ACACB/AGK/AGO2/AIMP2/ARG1/ARG2/ASNS/ASS1/B4GALT5/CALR/CCN1/CERS2/CERS4/CNOT3/CNOT8/CPEB1/CYP4F22/DCP1A/DCPS/DEGS1/DENR/DRG1/EARS2/EEF2/EIF1/EIF3H/EIF3I/EIF4A1/EIF4A3/EIF4EBP1/EIF4EBP3/ELAVL1/ELOVL1/ENC1/EXOSC3/FARSA/FH/FTSJ1/FURIN/FXR2/GAPDH/GARS1/GATC/GBA1/GCLC/GCLM/GGT5/HARS1/HARS2/IGF2BP1/JMJD4/KARS1/LARP6/LTO1/METTL17/METTL3/MIF4GD/MPC2/MRPL11/MRPL13/MRPL15/MRPL16/MRPL17/MRPL18/MRPL2/MRPL20/MRPL24/MRPL27/MRPL33/MRPL35/MRPL36/MRPL4/MRPL43/MRPL44/MRPL47/MRPL52/MRPL55/MRPL58/MRPL9/MRPS11/MRPS18A/MRPS18B/MRPS18C/MRPS2/MRPS5/MRPS7/MRPS9/MRRF/MTG1/MTRF1/NARS1/NAT10/NCK2/NIBAN1/NSUN5/OGFOD1/ORMDL2/ORMDL3/P2RX7/PAIP2/PARS2/PDE12/PIWIL2/PNLDC1/PPCS/PPP1R15B/QRSL1/RACK1/RBM3/RGS2/RPL10/RPL10A/RPL11/RPL22/RPL23/RPL26/RPL26L1/RPL27/RPL29/RPL3/RPL32/RPL35/RPL35A/RPL36/RPL36AL/RPL38/RPL5/RPL6/RPL9/RPLP0/RPLP1/RPLP2/RPS11/RPS12/RPS13/RPS15/RPS16/RPS17/RPS18/RPS19/RPS20/RPS21/RPS23/RPS26/RPS27/RPS27L/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6KB2/RPS8/RPSA/RPUSD3/SAMD8/SESN2/SF1/SGMS2/SKIC8/SLBP/SMPD2/SPHK1/SPTSSA/SRP9/ST3GAL1/ST3GAL3/TARBP2/TARS2/TRNAU1AP/UBA52/UGCG/UNK/UQCC2/VARS1/WARS1/WT1/YARS1/ZFP36/ZFP36L1/ZFP36L2,183
