,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0051301,BP,GO:0051301,cell division,95/2567,170/6969,2.48E-07,0.000816355,0.000797885,ANAPC10/ANAPC13/ANAPC16/ANAPC5/AURKB/BECN1/BIRC5/BMI1/BOD1L1/BRCC3/CALM2/CALM3/CAT/CCNA2/CCNB1/CCNB2/CCNG1/CCP110/CDC20/CDC25B/CDC25C/CDC5L/CDCA3/CDCA7L/CDK1/CENPA/CEP55/CHMP2B/CKS2/CSPP1/DCT/DIS3L2/DLL1/DR1/E2F8/EPB41/EXT1/FBXO5/FGF1/FGF9/FGFR2/GDF9/GNAI3/GNL3/GPR15LG/HAUS1/HTR2B/KATNAL1/KDF1/KIF11/KIF20A/KIF4A/KLHL9/MAPRE1/MAPRE2/MBIP/MDK/MITD1/MLLT3/NCAPG/NUF2/OIP5/ORC4/PAFAH1B1/PARD6B/PGF/PIK3C3/POU3F2/PPP1CB/PPP1CC/RAB11A/RAB11FIP4/RBBP8/RGS14/RHOB/SEPTIN11/SGO1/SGO2/SH3GLB1/SKA1/SKA2/SMC3/SPAG5/SPAST/SPC25/SPDL1/SPECC1L/STAG2/TGFB3/TOP2A/TXNIP/USP16/USP37/VPS4B/ZZZ3,95
GO:0007049,BP,GO:0007049,cell cycle,229/2567,492/6969,3.01E-06,0.004949645,0.004837659,ABRAXAS1/ABRAXAS2/ACTB/ACTL6A/ANAPC10/ANAPC13/ANAPC16/ANAPC5/ANGEL2/ANXA1/APP/APPL1/APPL2/ATM/AURKB/BECN1/BIRC5/BMP4/BRCA1/BRCC3/CABLES2/CALM2/CALM3/CAV2/CCAR2/CCNA2/CCNB1/CCNB2/CCNF/CCNG1/CCNG2/CCNH/CCNI/CCP110/CDC20/CDC25B/CDC25C/CDC5L/CDK1/CDK7/CDKN1B/CDKN2C/CDKN2D/CDKN3/CEBPA/CENPA/CENPH/CENPQ/CENPW/CEP120/CEP152/CEP250/CEP55/CEP63/CHDH/CHEK1/CHMP2B/CHORDC1/CKS2/CSPP1/CTNNB1/DDX3X/DIS3L2/DMC1/DONSON/DR1/E2F8/EME1/EML4/EPB41/EREG/ESCO1/FAM110A/FBXO5/FEM1B/FOXA1/FOXM1/FOXN3/FOXO4/FZD3/GADD45G/GATA3/GATA6/GDF9/GEN1/GJA1/GMNN/GPER1/GPR15LG/GRK5/HAUS1/HAUS2/HAUS6/HHEX/HJURP/HUS1/ID2/IL10/ING3/INHBA/INO80/INTS3/JUN/KATNAL1/KIF11/KIF18A/KIF18B/KIF20A/KIF22/KIF4A/KLHL9/KNSTRN/KPNB1/LSM14A/MAD2L1/MAPK14/MAPRE1/MAPRE2/MBIP/MCMBP/MDC1/MDM1/MED1/MITD1/MNAT1/MND1/MUS81/MYOG/NAA50/NCAPG/NEK7/NFIB/NHERF1/NR2E1/NR2F2/NUF2/NUP214/NUPR2/OIP5/ORC4/OVOL1/PAFAH1B1/PAGR1/PARD6B/PCLAF/PCNP/PDE3A/PHF8/PIK3C3/PIM2/PKD2/POC5/PPP1CB/PPP1R10/PPP1R35/PRKACA/PRKAR1A/PRKAR2A/PTPN11/PTPN6/RAB11A/RAB11FIP4/RAD1/RAD18/RAD21/RB1/RBBP8/REEP3/REEP4/RGS14/RHNO1/RHOB/RIF1/RINT1/RMI1/RNASEH2B/RPS6/RPS6KB1/SAC3D1/SBDS/SEPTIN11/SETDB2/SGO1/SGO2/SH3GLB1/SKA1/SKA2/SMC1A/SMC3/SMC4/SMC6/SON/SPAG5/SPAST/SPATA17/SPATA22/SPC25/SPDL1/SPDYA/SPDYC/SPECC1L/SPRY1/STAG2/STOX1/TAOK1/TCIM/TERF1/TIPRL/TLK1/TM4SF5/TOP2A/TP53/TRNP1/TUBD1/TUBGCP3/TXNIP/UBXN2B/UIMC1/USP16/USP2/USP37/USP44/VPS4B/WAC/WDR62/WEE1/WEE2/ZWINT/ZZZ3,229
GO:0022402,BP,GO:0022402,cell cycle process,168/2567,350/6969,7.65E-06,0.008379206,0.008189626,ABRAXAS1/ABRAXAS2/ANAPC5/ANXA1/APP/APPL1/ATM/AURKB/BECN1/BIRC5/BMP4/BRCC3/CALM2/CALM3/CAV2/CCNA2/CCNB1/CCNB2/CCNF/CCNG1/CCNG2/CCNH/CCNI/CCP110/CDC20/CDC25B/CDC25C/CDC5L/CDK1/CDK7/CDKN1B/CDKN2C/CDKN2D/CENPA/CENPH/CENPQ/CENPW/CEP120/CEP152/CEP250/CEP55/CEP63/CHEK1/CHMP2B/CHORDC1/CSPP1/CTNNB1/DDX3X/DMC1/DONSON/E2F8/EME1/EML4/EREG/FAM110A/FBXO5/FEM1B/FOXM1/FOXO4/GATA6/GEN1/GJA1/GMNN/GPER1/GPR15LG/HAUS1/HAUS2/HAUS6/HJURP/HUS1/ID2/INHBA/INO80/INTS3/KIF11/KIF18A/KIF18B/KIF20A/KIF22/KIF4A/KLHL9/KNSTRN/KPNB1/LSM14A/MAD2L1/MAPK14/MCMBP/MDM1/MED1/MITD1/MNAT1/MND1/MUS81/NAA50/NCAPG/NFIB/NUF2/OIP5/ORC4/OVOL1/PAFAH1B1/PAGR1/PDE3A/PHF8/PIK3C3/PIM2/PKD2/PPP1R10/PPP1R35/PRKACA/PRKAR1A/PRKAR2A/PTPN11/PTPN6/RAB11A/RAB11FIP4/RAD1/RAD18/RAD21/REEP3/REEP4/RGS14/RHNO1/RHOB/RINT1/RMI1/RNASEH2B/RPS6/RPS6KB1/SAC3D1/SBDS/SEPTIN11/SETDB2/SGO1/SGO2/SH3GLB1/SKA1/SKA2/SMC1A/SMC4/SMC6/SPAG5/SPAST/SPATA17/SPATA22/SPC25/SPDL1/SPDYA/SPRY1/STAG2/STOX1/TAOK1/TCIM/TERF1/TIPRL/TLK1/TM4SF5/TOP2A/TUBGCP3/UBXN2B/UIMC1/USP16/USP44/VPS4B/WAC/WDR62/WEE2/ZWINT,168
GO:0000226,BP,GO:0000226,microtubule cytoskeleton organization,95/2567,182/6969,1.34E-05,0.010977122,0.010728765,ABRAXAS1/ABRAXAS2/ATAT1/AURKB/BICD1/BIRC5/CAPN6/CCDC39/CCNB1/CCNB2/CCNF/CCP110/CDK1/CDKN1B/CENPA/CENPH/CEP120/CEP152/CEP250/CEP63/CFAP206/CFAP58/CFAP91/CFAP97D1/CHEK1/CHMP2B/CHORDC1/CTNNB1/DCX/DNAAF2/DNAAF6/DNAI2/DNAL1/DYRK1A/EML4/FAM110A/FOXJ1/GCC2/GEN1/GJA1/HAUS1/HAUS2/HAUS6/HDAC6/HOOK2/INO80/KATNAL1/KIF11/KIF18A/KIF18B/KIF20A/KIF4A/KNSTRN/KPNB1/LSM14A/MAD2L1/MAP10/MAP1B/MAPRE1/MDM1/MET/MID1IP1/MNS1/NCKAP5L/NUF2/ODAD3/PAFAH1B1/PIERCE2/PPP1R35/PRKAA2/RAB11A/RANGRF/RGS14/ROCK1/RSPH9/SAC3D1/SBDS/SGO1/SKA1/SKA2/SLAIN2/SLK/SPAST/SPATA17/SPC25/SPDL1/SPRY1/TAOK1/TPPP/TUBD1/TUBGCP3/TXNDC9/UBXN2B/VPS4B/WDR62,95
GO:0000278,BP,GO:0000278,mitotic cell cycle,121/2567,245/6969,2.95E-05,0.0194258,0.018986291,ABRAXAS1/ABRAXAS2/ANAPC5/ANGEL2/ANXA1/APP/APPL1/ATM/AURKB/BECN1/BIRC5/BMP4/BRCC3/CALM2/CALM3/CAV2/CCNA2/CCNB1/CCNB2/CCNF/CCNG1/CCNG2/CCNH/CCNI/CDC25B/CDC25C/CDK1/CDKN1B/CDKN2C/CDKN2D/CENPA/CENPH/CENPW/CEP250/CEP55/CHEK1/CHMP2B/CKS2/DDX3X/DONSON/E2F8/EME1/EML4/EREG/FAM110A/FBXO5/FOXA1/FOXM1/FOXO4/FZD3/GEN1/GJA1/GMNN/ID2/INHBA/INO80/INTS3/KIF11/KIF18A/KIF18B/KIF20A/KIF22/KIF4A/KNSTRN/KPNB1/LSM14A/MAD2L1/MITD1/MNAT1/MUS81/NAA50/NCAPG/NEK7/NFIB/NHERF1/NUF2/OVOL1/PAFAH1B1/PHF8/PIM2/PKD2/PPP1R10/PTPN11/PTPN6/RAB11A/RAD21/REEP3/REEP4/RGS14/RHOB/RINT1/RNASEH2B/RPS6/RPS6KB1/SBDS/SETDB2/SGO1/SKA1/SKA2/SMC4/SPAST/SPATA17/SPC25/SPDL1/SPRY1/STOX1/TAOK1/TM4SF5/TUBD1/TUBGCP3/UBXN2B/UIMC1/USP16/USP2/USP44/VPS4B/WAC/WDR62/WEE1/WEE2/ZWINT,121
GO:0043687,BP,GO:0043687,post-translational protein modification,184/2567,398/6969,4.80E-05,0.02629183,0.025696977,ABRAXAS1/ABRAXAS2/ACTB/ACTL6A/AGTPBP1/AMER1/ANAPC13/ANAPC16/ANAPC5/ARRDC3/ASB13/ASB3/ASB4/ASB7/ATG12/ATG5/ATXN3/AURKB/BMI1/BRCA1/BRCC3/BRMS1L/CALML4/CBL/CCNA2/CCNF/CDC20/CEP63/COPS4/CRBN/CUL4A/CUL4B/CUL5/DCAF11/DCAF13/DCAF17/DDB2/DDX3X/DR1/DTX4/EGR1/EHMT2/EP300/ESCO1/EZH1/EZH2/FANCI/FBXL3/FBXL5/FBXO33/FBXO5/FBXO9/FEM1B/GNL3/GPS2/HAT1/HDAC10/HDAC2/HDAC6/HECTD2/HIPK4/HUWE1/ICMT/ING3/JAK2/JMJD1C/KAT6B/KDM1A/KLHL15/KLHL20/KLHL24/KLHL25/KLHL41/KLHL42/KLHL9/KMT5B/LEO1/LTN1/MAD2L1/MAP3K12/MAP3K7/MAPK9/MARCHF7/MBIP/MIB1/MINDY3/MORF4L1/MSL2/MSL3/N4BP1/NDFIP2/NFE2L2/NFYB/OGT/OTUD6B/OTUD7B/PARP12/PARP8/PCNP/PEX2/PJA2/PLAA/PSMD14/RAD18/RAG1/RBBP6/RBBP7/RLIM/RNF103/RNF11/RNF115/RNF125/RNF138/RNF139/RNF14/RNF141/RNF144A/RNF144B/RNF157/RNF182/RNF19A/RNF20/RNF208/RNF26/RNF7/SENP1/SENP7/SENP8/SETD7/SETDB1/SETDB2/SIAH1/SMAD4/SMYD3/SOCS4/SOCS5/SOCS6/SOCS7/SOX4/SPOPL/STT3B/SUMO1/SUV39H2/TAF9/TBL1XR1/TNKS2/TOPORS/TRAF5/TRAF6/TRAF7/TRIM10/TRIM15/TRIM23/TRIM4/TRIM50/TRIM65/TRIM8/UBA3/UBA6/UBA7/UBE2D3/UBE3A/UBE3B/UCHL3/UCHL5/UFL1/UIMC1/USP15/USP16/USP2/USP21/USP37/USP4/USP43/USP44/USP45/USP53/USP7/WAC/WWP1/YOD1/ZC4H2/ZRANB1/ZZZ3,184
GO:1903047,BP,GO:1903047,mitotic cell cycle process,99/2567,197/6969,6.58E-05,0.030917352,0.030217847,ABRAXAS1/ABRAXAS2/ANAPC5/ANXA1/APP/APPL1/ATM/AURKB/BECN1/BIRC5/BMP4/BRCC3/CALM2/CALM3/CAV2/CCNA2/CCNB1/CCNB2/CCNF/CCNG1/CCNG2/CCNH/CCNI/CDC25B/CDC25C/CDK1/CDKN1B/CDKN2C/CDKN2D/CENPA/CENPH/CEP55/CHEK1/CHMP2B/DDX3X/DONSON/EME1/EML4/EREG/FAM110A/FBXO5/FOXM1/FOXO4/GEN1/GJA1/ID2/INHBA/INO80/INTS3/KIF11/KIF18A/KIF18B/KIF20A/KIF22/KIF4A/KNSTRN/KPNB1/LSM14A/MAD2L1/MITD1/MNAT1/MUS81/NAA50/NCAPG/NFIB/NUF2/PAFAH1B1/PHF8/PIM2/PKD2/PPP1R10/PTPN6/RAB11A/RAD21/REEP3/REEP4/RHOB/RINT1/RNASEH2B/RPS6/RPS6KB1/SBDS/SGO1/SMC4/SPAST/SPC25/SPDL1/SPRY1/STOX1/TAOK1/TM4SF5/UBXN2B/UIMC1/USP16/USP44/VPS4B/WAC/WDR62/ZWINT,99
GO:0007017,BP,GO:0007017,microtubule-based process,129/2567,269/6969,9.25E-05,0.037990261,0.037130731,ABRAXAS1/ABRAXAS2/ACTR10/AGTPBP1/APP/ATAT1/AURKB/BICD1/BICDL2/BIRC5/BLOC1S6/CAPN6/CATSPER2/CCDC39/CCNB1/CCNB2/CCNF/CCP110/CDK1/CDKN1B/CENPA/CENPH/CEP120/CEP152/CEP250/CEP63/CFAP206/CFAP298/CFAP58/CFAP91/CFAP97D1/CHEK1/CHMP2B/CHORDC1/CTNNB1/DCX/DEFB1/DEFB1/DNAAF2/DNAAF6/DNAI2/DNAL1/DTNBP1/DYNC1I2/DYNC2I2/DYNC2LI1/DYNLT4/DYRK1A/EML4/FAM110A/FOXJ1/GCC2/GEN1/GJA1/HAUS1/HAUS2/HAUS6/HDAC6/HOOK2/IFT46/IFT52/IFT74/INO80/KATNAL1/KIF11/KIF16B/KIF18A/KIF18B/KIF20A/KIF20B/KIF22/KIF2C/KIF3A/KIF4A/KIFC1/KLHL42/KNSTRN/KPNB1/KTN1/LCA5/LSM14A/MAD2L1/MAP10/MAP1B/MAPRE1/MDM1/MET/MID1IP1/MNS1/NCKAP5L/NHERF1/NME5/NUF2/ODAD3/PAFAH1B1/PIERCE2/PPP1R35/PRKAA2/RAB11A/RAB1A/RAB21/RANGRF/RGS14/ROCK1/RSPH9/SAC3D1/SBDS/SGO1/SKA1/SKA2/SLAIN2/SLK/SNAPIN/SPAST/SPATA17/SPC25/SPDL1/SPRY1/TAC4/TAOK1/TEKT1/TPPP/TUBD1/TUBE1/TUBGCP3/TXNDC9/UBXN2B/VPS4B/WDR62,129
GO:0000086,BP,GO:0000086,G2/M transition of mitotic cell cycle,24/2567,35/6969,0.000132646,0.048445246,0.047349172,APP/AURKB/BIRC5/BRCC3/CALM2/CALM3/CCNA2/CCNB1/CDC25B/CDC25C/CDK1/CHEK1/DONSON/FOXM1/FOXO4/INTS3/RAB11A/RAD21/RINT1/RNASEH2B/STOX1/TAOK1/UIMC1/VPS4B,24
GO:0007059,BP,GO:0007059,chromosome segregation,59/2567,110/6969,0.000218368,0.071777497,0.07015353,ABRAXAS1/ABRAXAS2/ANAPC5/ATM/AURKB/BECN1/BIRC5/CCNB1/CCNB2/CENPH/CENPQ/CENPW/CHMP2B/DDX3X/DMC1/EML4/GEN1/HAUS1/HAUS2/HAUS6/HJURP/INO80/KIF11/KIF18A/KIF18B/KIF22/KIF4A/KNSTRN/KPNB1/LSM14A/MAD2L1/MND1/NCAPG/NUF2/OIP5/RAB11A/RAD18/RAD21/RGS14/SAC3D1/SETDB2/SGO1/SGO2/SKA1/SKA2/SMC4/SMC6/SPAG5/SPATA22/SPC25/SPDL1/STAG2/TERF1/TLK1/TOP2A/TUBGCP3/USP44/VPS4B/ZWINT,59
